Kürzel;Name;Brunnen;Alternative
AM;Stadt Amberg;.;AS
xAN;Stadt Ansbach;.;AN
xAB;Stadt Aschaffenburg;.;AB
xA;Stadt Augsburg;LECHHAUSEN 642;
xBA;Stadt Bamberg;.;BA
xBY;Stadt Bayreuth;THIERGARTEN-kms3;
xCO;Stadt Coburg;.;CO
ER;Stadt Erlangen;Erlangen Q5;x
xFÜ;Stadt Fürth;.;FÜ
xHO;Stadt Hof;.;HO
IN;Stadt Ingolstadt;KOTHAU 134A, GEROLFING B;
KF;Stadt Kaufbeuren;.;OAL
xKE;Stadt Kempten (Allgäu);.;KE
xLA;Stadt Landshut;AHORNWEG L 1, PARKHAUS L 5, STRASSENBAUAMT L 7, MOOSWIESENWEG 18 B, MITTERWÖHR KL.ISAR 70/59, MITTERWÖHR GR.ISAR 70/63, UNTERSBERGWEG L 2 A, NIKOLAKIRCHE 21A, DAMMSTRASSE L 8, SIEBENSEE 95, MITTERWÖHR LIEGNITZER STRASSE;
xMM;Stadt Memmingen;.;MM
xM;Landeshauptstadt München;Allach 289A, München KP 95, München KP 294, München KPA 751, OBERMENZING Q 2, JOHANNESKIRCHEN KPA 222, München RSS P 144, München KP 16, München U9 160, MÜNCHEN KP 413, München KP 1560, FELDMOCHING 295;
N;Stadt Nürnberg;KAISERBURG NUERNBERG, Nürnberg K4;
xPA;Stadt Passau;.;PA
xR;Stadt Regensburg;REGENSBURG HAFEN Q5, REGENSBURG 771, REGENSBURG 773;
xRO;Stadt Rosenheim;ALPENWEG 27, HEILIG BLUT 14, SPORTPL.SCHWAIG 19, RIEDERGARTEN 25;
SC;Stadt Schwabach;.;RH
xSW;Stadt Schweinfurt;.;SW
xSR;Stadt Straubing;.;SR
xWEN;Stadt Weiden i.d.OPf.;.;WEN
xWÜ;Stadt Würzburg;x;x
AIC;Landkreis Aichach-Friedberg;x;x
AÖ;Landkreis Altötting;x;x
AS;Landkreis Amberg-Sulzbach;x;x
AN;Landkreis Ansbach;x;x
AB;Landkreis Aschaffenburg;x;x
A;Landkreis Augsburg;x;x
KG;Landkreis Bad Kissingen;x;x
TÖL;Landkreis Bad Tölz-Wolfratshausen;x;x
BA;Landkreis Bamberg;x;x
BT;Landkreis Bayreuth;x;x
BGL;Landkreis Berchtesgadener Land;x;x
CHA;Landkreis Cham;x;x
CO;Landkreis Coburg;x;x
DAH;Landkreis Dachau;x;x
DEG;Landkreis Deggendorf;x;x
DLG;Landkreis Dillingen an der Donau;x;x
DGF;Landkreis Dingolfing-Landau;x;x
DON;Landkreis Donau-Ries;x;x
EBE;Landkreis Ebersberg;x;x
EI;Landkreis Eichstätt;x;x
ED;Landkreis Erding;x;x
ERH;Landkreis Erlangen-Höchstadt;x;x
FO;Landkreis Forchheim;x;x
FS;Landkreis Freising;x;x
FRG;Landkreis Freyung-Grafenau;x;x
FFB;Landkreis Fürstenfeldbruck;x;x
FÜ;Landkreis Fürth;x;x
GAP;Landkreis Garmisch-Partenkirchen;x;x
GZ;Landkreis Günzburg;x;x
HAS;Landkreis Haßberge;x;x
HO;Landkreis Hof;x;x
KEH;Landkreis Kelheim;x;x
KT;Landkreis Kitzingen;x;x
KC;Landkreis Kronach;x;x
KU;Landkreis Kulmbach;x;x
LL;Landkreis Landsberg am Lech;x;x
LA;Landkreis Landshut;x;x
LIF;Landkreis Lichtenfels;x;x
LI;Landkreis Lindau (Bodensee);x;x
MSP;Landkreis Main-Spessart;x;x
MB;Landkreis Miesbach;x;x
MIL;Landkreis Miltenberg;x;x
MÜ;Landkreis Mühldorf am Inn;x;x
M;Landkreis München;x;x
ND;Landkreis Neuburg-Schrobenhausen;x;x
NM;Landkreis Neumarkt in der Oberpfalz;x;x
NEA;Landkreis Neustadt an der Aisch-Bad Windsheim;x;x
NEW;Landkreis Neustadt an der Waldnaab;x;x
LAU;Landkreis Nürnberger Land;x;x
OA;Landkreis Oberallgäu;x;x
OAL;Landkreis Ostallgäu;x;x
PA;Landkreis Passau;x;x
PAF;Landkreis Pfaffenhofen an der Ilm;x;x
REG;Landkreis Regen;x;x
R;Landkreis Regensburg;x;x
NES;Landkreis Rhön-Grabfeld;x;x
RO;Landkreis Rosenheim;x;x
RH;Landkreis Roth;x;x
PAN;Landkreis Rottal-Inn;x;x
SAD;Landkreis Schwandorf;x;x
SW;Landkreis Schweinfurt;x;x
STA;Landkreis Starnberg;x;x
SR;Landkreis Straubing-Bogen;x;x
TIR;Landkreis Tirschenreuth;x;x
TS;Landkreis Traunstein;x;x
MN;Landkreis Unterallgäu;x;x
WM;Landkreis Weilheim-Schongau;x;x
WUG;Landkreis Weißenburg-Gunzenhausen;x;x
WUN;Landkreis Wunsiedel im Fichtelgebirge;x;x
